 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
python-apt-common 0.9.3.5ubuntu2
python-avahi 0.6.31-4ubuntu1
python-boto 2.20.1-2ubuntu2
python-ceph 10.2.11-7.0+428+f5c1db187
python-cephfs 10.2.11-7.0+428+f5c1db187
python-chardet 2.0.1-2build2
python-chardet-whl 2.2.1-2~ubuntu1
python-click 3.1-7.0+428+f5c1db187
python-colorama 0.2.5-0.1ubuntu2
python-colorama-whl 0.2.5-0.1ubuntu2
python-concurrent.futures 3.2.0+dfsg-1
python-configobj 4.7.2+ds-5build1
python-crypto 2.6.1-4build1
python-dbus 1.2.0-2build2
python-dbus-dev 1.2.0-2build2
python-debian 0.1.21+nmu2ubuntu2
python-distlib 0.1.8-1ubuntu1
python-distlib-whl 0.1.8-1ubuntu1
python-dns 2.3.6-3
python-dnspython 1.11.1-1build1
python-docutils 0.11-3
python-flask 0.10.1-2build1
python-flup 1.0.2-4
python-formencode 1.2.6-1ubuntu1
python-gdbm 2.7.5-1ubuntu1
python-gi 3.12.0-1ubuntu1
python-gobject 3.12.0-1ubuntu1
python-gobject-2 2.28.6-12build1
python-html5lib 0.999-3~ubuntu1
python-html5lib-whl 0.999-3~ubuntu1
python-humanize 0.3-1
python-itsdangerous 0.22+dfsg1-1build1
python-jinja2 2.7.2-2
python-jsonpickle 0.9.2-7.0+428+f5c1db187
python-ldap 2.4.10-1build1
python-ldb 1:1.1.24-0ubuntu0.14.04.1
python-leveldb 0~svn68-2build1
python-lockfile 1:0.8-2ubuntu2
python-lxml 3.3.3-1ubuntu0.1
python-markupsafe 0.18-1build2
python-memcache 1.53-1build1
python-minimal 2.7.5-5ubuntu3
python-netaddr 0.7.10-1ubuntu1.1
python-netifaces 0.8-3build1
python-newt 0.52.15-2ubuntu5
python-nose 1.3.1-2
python-openid 2.2.5-3ubuntu1
python-openssl 0.13-2ubuntu6
python-pam 0.4.2-13.1ubuntu3
python-parse 1.6.5-7.0+428+f5c1db187
python-parted 3.6-6
python-paste 1.7.5.1-6ubuntu3
python-pexpect 3.1-1ubuntu0.1
python-pil 2.3.0-1ubuntu3
python-pip 1.5.4-1ubuntu4
python-pip-whl 1.5.4-1ubuntu4
python-pkg-resources 3.3-1ubuntu2
python-plumbum 1.4.2-7.0+428+f5c1db187
python-posix-ipc 0.9.8-2+b1
python-prctl 1.1.1-1.1
python-psutil 3.0.0-7.0+428+f5c1db187
python-pycurl 7.19.3-0ubuntu3
python-pygments 1.6+dfsg-1ubuntu1.1
python-pyinotify 0.9.4-1build1
python-pyjwt 1.6.4
python-pylibmc 1.2.3-1
python-pysmart 0.3-7.0+428+f5c1db187
python-pysphere 0.1.7-7.0+428+f5c1db187
python-pyudev 0.16.1-2build1
python-pyxattr 0.5.1-1.1build4
python-rados 10.2.11-7.0+428+f5c1db187
python-rbd 10.2.11-7.0+428+f5c1db187
python-requests 2.2.1-1ubuntu0.3
python-requests-whl 2.2.1-1ubuntu0.4
python-retrying 1.3.3-1
python-roman 2.0.0-1
python-rpyc 3.3.0-7.0+428+f5c1db187
python-samba 2:4.3.13+dfsg-7.0+428+f5c1db187
python-scgi 1.13-1.1build1
python-serial 2.6-1build1
python-setuptools 3.3-1ubuntu2
python-setuptools-whl 3.3-1ubuntu2
python-simplejson 3.3.1-1ubuntu6
python-six 1.11.0-1
python-six-whl 1.5.2-1ubuntu1.1
python-sphinx 1.2.2+dfsg-1ubuntu1.1
python-sphinxcontrib.httpdomain 1.3.0-1
python-support 1.0.15
python-talloc 2.1.0-1
python-tdb 1.3.8-0ubuntu0.14.04.1
python-tempita 0.5.2-1build1
python-twisted-bin 13.2.0-1ubuntu1
python-twisted-core 13.2.0-1ubuntu1
python-urllib3 1.7.1-1ubuntu4
python-urllib3-whl 1.7.1-1ubuntu4.1
python-webpy 1:0.37-7.0+428+f5c1db187
python-werkzeug 0.9.4+dfsg-1.1ubuntu2
python-wheel 0.24.0-1~ubuntu1.1
python-wrapt 1.9.0-1
python-xapian 1.2.16-2ubuntu1
python-zope.interface 4.0.5-1ubuntu4
python2.7 2.7.6-8ubuntu0.2
python2.7-minimal 2.7.6-8ubuntu0.2
python3 3.4.0-0ubuntu2
python3-apt 0.9.3.5ubuntu2
python3-commandnotfound 0.3ubuntu12
python3-dbus 1.2.0-2build2
python3-distupgrade 1:0.220.8
python3-gdbm:amd64 3.4.3-1~14.04.2
python3-gi 3.12.0-1ubuntu1
python3-minimal 3.4.0-0ubuntu2
python3-newt 0.52.15-2ubuntu5
python3-pkg-resources 3.3-1ubuntu2
python3-pycurl 7.19.3-0ubuntu3
python3-six 1.5.2-1ubuntu1
python3-update-manager 1:0.196.14
python3.4 3.4.3-1ubuntu1~14.04.6
python3.4-minimal 3.4.3-1ubuntu1~14.04.6
radosgw 10.2.11-7.0+428+f5c1db187
readline-common 6.3-4ubuntu2
resolvconf 1.69ubuntu1.1
resource-agents 1:3.9.3+git20121009-3ubuntu2
rpcbind 0.2.1-2ubuntu2.2
rrdtool 7.0-428+f5c1db187
rsync 3.1.0-2ubuntu0.2
rsyslog 7.4.4-1ubuntu2.6
s3cmd 7.0-428+f5c1db187
s3fs-fuse 7.0-428+f5c1db187
samba 2:4.3.13+dfsg-7.0+428+f5c1db187
samba-common 2:4.3.13+dfsg-7.0+428+f5c1db187
samba-common-bin 2:4.3.13+dfsg-7.0+428+f5c1db187
samba-dsdb-modules 2:4.3.13+dfsg-7.0+428+f5c1db187
samba-libs:amd64 2:4.3.13+dfsg-7.0+428+f5c1db187
samba-vfs-modules 2:4.3.13+dfsg-7.0+428+f5c1db187
screen 4.1.0~20120320gitdb59704-9
sed 4.2.2-4ubuntu1
sensible-utils 0.0.9
sg3-utils 1.39-1
sgml-base 1.26+nmu4ubuntu1
shared-mime-info 1.2-0ubuntu3
smartmontools 6.5+svn4324-1+dfsg-1
snmp 5.7.2~dfsg-8.1ubuntu3.1
snmpd 5.7.2~dfsg-8.1ubuntu3.1
sosreport 3.1-1ubuntu2.2
sphinx-common 1.2.2+dfsg-1ubuntu1.1
sphinx-doc 1.2.2+dfsg-1ubuntu1.1
spl 0.6.5.11-1~trusty
spl-dkms 0.6.5.11-1~trusty
ssh-import-id 3.21-0ubuntu1
sshpass 1.05-1
ssl-cert 1.0.33
strace 4.8-1ubuntu5
stunnel4 3:4.53-1.1ubuntu1
sudo 1.8.9p5-1ubuntu1.4
sysfsutils 2.1.0+repack-3ubuntu1
sysstat 10.2.0-1
systemd-services 204-5ubuntu20.25
systemd-shim 6-2bzr1
sysv-rc 2.88dsf-41ubuntu6.3
sysvinit-utils 2.88dsf-41ubuntu6.3
tar 1.27.1-1
tasksel 2.88ubuntu15
tasksel-data 2.88ubuntu15
tcpd 7.6.q-25
tcpdump 4.5.1-2ubuntu1.2
tdb-tools 1.3.8-0ubuntu0.14.04.1
telnet 0.17-36build2
time 1.7-24
tmux 1.8-5
tree 1.6.0-1
ttf-dejavu 2.34-1ubuntu1
ttf-dejavu-core 2.34-1ubuntu1
ttf-dejavu-extra 2.34-1ubuntu1
tzdata 2015g-0ubuntu0.14.04
tzdata-java 2015g-0ubuntu0.14.04
ubuntu-keyring 2012.05.19
ubuntu-minimal 1.325
ubuntu-release-upgrader-core 1:0.220.8
ubuntu-standard 1.325
ubuntu-zfs 8~trusty
ucf 3.0027+nmu1
udev 204-5ubuntu20.25
ufw 0.34~rc-0ubuntu2
unrar 1:5.0.10-1ubuntu0.14.04.1
update-inetd 4.43
update-manager-core 1:0.196.14
upstart 1.12.1-0ubuntu4.2
ureadahead 0.100.0-16
usbutils 1:007-2ubuntu1
util-linux 2.20.1-5.1ubuntu20.9
uuid-runtime 2.20.1-5.1ubuntu20.9
vim 2:7.4.052-1ubuntu3.1
vim-common 2:7.4.052-1ubuntu3.1
vim-runtime 2:7.4.052-1ubuntu3.1
vim-tiny 2:7.4.052-1ubuntu3.1
w3m 0.5.3-15
wget 1.15-1ubuntu1.14.04.1
whiptail 0.52.15-2ubuntu5
winbind 2:4.3.13+dfsg-7.0+428+f5c1db187
wireless-tools 30~pre9-8ubuntu1
wpasupplicant 2.1-0ubuntu1.4
xauth 1:1.0.7-1ubuntu1
xfsprogs 3.1.9ubuntu2
xkb-data 2.10.1-1ubuntu1
xml-core 0.13+nmu2
xz-utils 5.1.1alpha+20120614-2ubuntu2
zfs-dkms 0.6.5.11-1~trusty
zfs-doc 0.6.5.11-1~trusty
zfsutils 0.6.5.11-1~trusty
zlib1g:amd64 1:1.2.8.dfsg-1ubuntu1
